               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.070286,0.017098,0.029224,0.72712,0.50232,0.56203,0.28901,0.02945,0.0089347,0.0075524,0.070092,0.0033231,0.0033231
1,0.048767,0.010418,0.0090932,0.86672,0.57709,0.65304,0.27766,0.027866,0.0063953,0.0043238,0.039433,0.0059975,0.0059975
2,0.04463,0.0085069,0.006707,0.69479,0.90047,0.93398,0.57023,0.022571,0.00533,0.0031263,0.0081138,0.0080118,0.0080118
3,0.038808,0.0076807,0.0051513,0.89569,0.92189,0.94833,0.5435,0.021394,0.0047763,0.0021815,0.00703,0.00703,0.00703
4,0.036849,0.0070343,0.0039665,0.8398,0.92848,0.93054,0.56739,0.019749,0.0044546,0.00182,0.00703,0.00703,0.00703
5,0.033242,0.0066244,0.0028421,0.92281,0.96142,0.97823,0.66121,0.017294,0.0039182,0.0012591,0.00604,0.00604,0.00604
6,0.030219,0.0062536,0.002351,0.9697,0.96009,0.98457,0.65656,0.016111,0.0036473,0.0012683,0.00505,0.00505,0.00505
7,0.027751,0.0058399,0.0018092,0.93186,0.91694,0.98212,0.69973,0.014725,0.003511,0.00074034,0.00406,0.00406,0.00406
8,0.025508,0.0055401,0.0016324,0.99019,0.97056,0.98721,0.72543,0.013901,0.0033002,0.00049914,0.00307,0.00307,0.00307
9,0.023512,0.0054259,0.00096957,0.99453,0.97899,0.98965,0.80081,0.012083,0.0030384,0.00038238,0.00208,0.00208,0.00208
